"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 16:10:47 CST 2020","Mon May 18 16:10:47 CST 2020","0","casepage","test_pytest","Testcase","","","test02",""
"broken","Mon May 18 16:10:18 CST 2020","Mon May 18 16:10:47 CST 2020","28028","casepage","test_pytest","Testcase","","","test01",""
